iteration,latency_us
0,24.208
1,22.542
2,20.083
3,19.75
4,21.875
5,22.0
6,23.667
7,31.875
8,20.375
9,19.292
10,19.25
11,19.25
12,19.209
13,19.291
14,19.0
15,18.916
16,18.708
17,21.666
18,24.875
19,24.666
20,21.834
21,19.667
22,19.25
23,18.708
24,22.875
25,18.625
26,18.833
27,18.709
28,20.708
29,18.459
30,18.542
31,18.458
32,18.542
33,23.458
34,23.458
35,20.208
36,19.166
37,18.916
38,18.833
39,18.541
40,18.416
41,18.417
42,18.5
43,18.458
44,18.5
45,18.375
46,18.542
47,18.667
48,18.542
49,20.458
50,25.667
51,23.917
52,32.458
53,22.834
54,20.0
55,19.208
56,19.084
57,18.875
58,18.875
59,25.833
60,19.25
61,18.583
62,19.0
63,18.667
64,18.625
65,18.833
66,20.458
67,22.25
68,19.208
69,19.25
70,19.042
71,19.167
72,19.917
73,19.25
74,19.0
75,18.833
76,19.042
77,26.125
78,20.959
79,36.0
80,33.5
81,28.541
82,26.625
83,26.375
84,24.875
85,21.958
86,20.875
87,20.5
88,22.5
89,21.25
90,19.667
91,19.542
92,21.0
93,23.708
94,34.959
95,30.875
96,26.041
97,23.5
98,23.833
99,27.084
100,24.292
101,47.541
102,37.166
103,29.0
104,27.208
105,26.75
106,28.666
107,24.583
108,22.5
109,20.75
110,20.125
111,19.458
112,19.792
113,19.958
114,19.625
115,19.958
116,33.917
117,22.875
118,25.458
119,23.334
120,21.083
121,18.625
122,17.375
123,22.083
124,17.375
125,17.125
126,22.583
127,20.667
128,17.75
129,16.917
130,17.291
131,16.958
132,16.833
133,16.792
134,16.834
135,16.583
136,16.542
137,24.083
138,20.333
139,18.792
140,19.334
141,19.541
142,20.416
143,24.458
144,24.75
145,18.875
146,22.583
147,25.542
148,21.458
149,24.208
150,19.792
151,17.875
152,17.458
153,17.292
154,16.792
155,17.0
156,18.625
157,16.959
158,17.041
159,16.75
160,21.375
161,16.709
162,16.75
163,16.833
164,16.584
165,16.833
166,16.541
167,16.75
168,16.708
169,16.708
170,16.667
171,16.917
172,16.625
173,17.166
174,16.75
175,18.916
176,21.375
177,18.75
178,20.583
179,21.667
180,19.792
181,18.125
182,17.291
183,17.292
184,16.833
185,16.709
186,16.708
187,16.708
188,17.041
189,16.959
190,17.0
191,19.875
192,27.75
193,23.875
194,22.958
195,19.833
196,17.708
197,17.167
198,31.583
199,19.041
200,19.333
201,23.209
202,22.375
203,19.75
204,21.334
205,22.917
206,21.958
207,19.125
208,17.625
209,17.291
210,17.0
211,17.375
212,23.083
213,22.375
214,24.459
215,22.041
216,19.833
217,17.125
218,17.459
219,17.542
220,16.875
221,17.125
222,17.125
223,16.75
224,18.708
225,21.792
226,21.959
227,23.916
228,19.542
229,20.0
230,18.333
231,17.041
232,18.375
233,16.834
234,16.375
235,17.041
236,16.959
237,16.25
238,16.584
239,16.5
240,16.416
241,16.75
242,16.875
243,18.416
244,22.833
245,17.208
246,17.208
247,17.708
248,16.458
249,16.292
250,16.584
251,16.417
252,16.625
253,16.375
254,16.292
255,16.167
256,16.416
257,16.834
258,16.625
259,16.208
260,16.166
261,16.458
262,16.459
263,16.458
264,16.334
265,14.708
266,16.375
267,16.208
268,16.667
269,16.542
270,16.458
271,16.458
272,16.208
273,16.291
274,16.667
275,16.25
276,20.542
277,16.25
278,16.166
279,16.125
280,16.042
281,16.083
282,16.333
283,16.25
284,16.792
285,19.583
286,20.25
287,21.875
288,19.167
289,17.792
290,16.917
291,16.333
292,16.584
293,16.417
294,16.292
295,16.417
296,20.709
297,21.417
298,18.708
299,23.417
300,19.5
301,40.125
302,27.458
303,22.25
304,23.042
305,19.542
306,17.709
307,17.542
308,17.208
309,17.208
310,17.0
311,17.583
312,16.875
313,16.625
314,17.0
315,22.375
316,17.0
317,16.75
318,16.625
319,23.209
320,20.75
321,16.291
322,16.083
323,15.542
324,14.958
325,14.916
326,15.25
327,13.375
328,15.083
329,15.0
330,14.875
331,15.125
332,15.5
333,20.5
334,22.125
335,23.208
336,19.75
337,18.75
338,17.625
339,20.459
340,19.333
341,17.958
342,22.125
343,17.583
344,18.959
345,19.041
346,20.458
347,17.125
348,15.208
349,15.083
350,14.791
351,14.792
352,14.875
353,14.708
354,14.834
355,14.458
356,14.458
357,14.459
358,13.375
359,14.709
360,14.417
361,14.583
362,14.791
363,14.292
364,14.75
365,14.583
366,14.5
367,14.167
368,14.459
369,14.459
370,14.792
371,14.625
372,14.458
373,19.708
374,14.5
375,14.292
376,14.375
377,14.458
378,19.125
379,17.541
380,19.042
381,16.208
382,16.833
383,22.208
384,22.459
385,17.541
386,17.0
387,16.125
388,15.708
389,17.875
390,18.709
391,18.75
392,20.959
393,30.5
394,20.167
395,16.792
396,16.375
397,15.833
398,15.625
399,15.291
400,15.042
401,23.458
402,26.583
403,21.417
404,20.25
405,19.417
406,20.417
407,20.459
408,18.625
409,16.708
410,15.792
411,15.542
412,20.959
413,24.25
414,19.292
415,19.792
416,18.708
417,20.375
418,20.375
419,17.208
420,14.541
421,20.208
422,18.708
423,18.875
424,20.209
425,21.083
426,21.834
427,25.417
428,107.334
429,29.625
430,27.833
431,60.542
432,114.584
433,68.167
434,82.25
435,40.791
436,30.083
437,32.958
438,36.042
439,42.959
440,93.833
441,28.542
442,40.875
443,92.791
444,52.625
445,31.125
446,28.458
447,40.5
448,30.542
449,63.5
450,26.542
451,38.166
452,38.5
453,29.167
454,32.791
455,24.583
456,21.375
457,24.0
458,37.084
459,42.542
460,25.459
461,23.292
462,45.25
463,35.917
464,21.791
465,21.458
466,22.625
467,25.209
468,73.125
469,56.084
470,26.541
471,28.291
472,53.083
473,24.625
474,23.709
475,21.75
476,36.375
477,21.917
478,22.709
479,22.083
480,20.792
481,20.875
482,19.709
483,17.833
484,20.125
485,21.292
486,20.25
487,20.041
488,19.667
489,20.625
490,19.708
491,21.083
492,19.25
493,19.25
494,19.375
495,19.75
496,24.417
497,20.041
498,19.709
499,19.833
500,19.625
501,26.791
502,22.708
503,22.375
504,23.083
505,22.125
506,40.666
507,23.459
508,20.708
509,20.0
510,19.583
511,19.417
512,19.166
513,18.667
514,18.833
515,20.291
516,19.625
517,19.125
518,20.25
519,19.208
520,19.875
521,19.334
522,19.584
523,19.083
524,22.666
525,19.5
526,19.333
527,19.208
528,19.0
529,19.042
530,19.041
531,19.25
532,18.959
533,19.042
534,19.083
535,19.042
536,19.125
537,19.209
538,19.25
539,18.875
540,20.5
541,19.458
542,19.459
543,19.167
544,18.458
545,17.458
546,20.125
547,19.0
548,18.959
549,19.334
550,19.167
551,19.542
552,18.958
553,19.083
554,18.916
555,19.166
556,22.583
557,19.459
558,18.958
559,19.291
560,19.25
561,19.041
562,18.916
563,19.875
564,19.791
565,20.458
566,26.875
567,24.958
568,19.083
569,19.25
570,18.625
571,18.666
572,18.75
573,18.084
574,18.417
575,16.834
576,19.042
577,21.292
578,18.709
579,18.291
580,18.416
581,17.666
582,17.833
583,18.791
584,18.25
585,18.792
586,18.166
587,18.167
588,18.541
589,18.042
590,18.375
591,18.375
592,21.0
593,18.208
594,17.958
595,18.542
596,18.291
597,18.542
598,17.958
599,18.083
600,18.667
601,22.583
602,21.792
603,18.459
604,20.791
605,18.792
606,17.458
607,16.75
608,20.583
609,18.875
610,18.542
611,20.709
612,75.792
613,38.625
614,24.25
615,21.833
616,21.792
617,35.042
